Title,Developer,Publisher,Release date North America,console,deck,guid,id,number_of_user_reviews,original_release_date,site_detail_url,description,game_rating
Home Alone 2: Lost in New York,Imagineering,THQ,October 1992,gb,"A video game adaptation loosely based on the 1992 movie Home Alone 2: Lost in New York. Kevin is accidentally flown to New York on his own and must avoid local perils as well as the persistent ""Sticky Bandits"" Harry and Marv.",3030-7239,7239,0,,https://www.giantbomb.com/home-alone-2-lost-in-new-york/3030-7239/," <div> Overview : Though based on the movie in terms of plotline and additional dialogue, the game was in ways worlds different from the movie. Certain changes made the game more interesting in an interactive game than in a static movie, such as use of different weapons and power-ups for protection, level layouts with enemies not seen in the movie, and for the Uncle's House level, usage of hidden keys and locked doors gained only after luring Marv or Harry into specific traps laid out in the various rooms (aka the first two Home Alone movies), as well as an active scene involving the Bird Woman and her birdseed attacks.The SNES version, while boasting a soundtrack with the SNES' traditionally realistic sounding instrument synth, suffered due to slightly post-8-bit graphics and sound effects, as well as a disjointed feel of incontinuity between stages. </div> ",
Hook,Painting by Numbers,Sony Imagesoft JP/NAOcean EU,April 1992,gb,A minimalist puzzle game where players must unravel a series of hooks.,3030-54063,54063,0,2015-01-21,https://www.giantbomb.com/hook/3030-54063/, <div>  Links : Official Site </div> ,
Hudson Hawk,Ocean,Sony Imagesoft NAEpic/Sony Records JP,December 1991,gb,"A game based on the 1991 Bruce Willis film of the same name. World famous cat burglar Eddie ""Hudson Hawk"" Hawkins must stop the evil Mayflowers from reconstructing Leonardo Da Vinci's alchemy machine.",3030-19918,19918,0,,https://www.giantbomb.com/hudson-hawk/3030-19918/," <div> Overview : Hudson Hawk is an action platformer game developed by Special FX and published by Ocean Software (Imagesoft for the NES port) for multiple platforms. </div>  <div> Gameplay : The game features three main missions (Rutherford's Auction House, The Vatican, and Castle Vinci) which are split up into multiple stage. During each mission the player must obtain various works of Da Vinci's while avoiding security cameras, attack dogs, and other enemies.While the game is mainly a platformer it features some puzzle elements including box pushing, and a safe cracking mini-game. </div> ",
The Humans,Imagitec Design,GameTek,December 1992,gb,"A strategy puzzler by Gametek, published by Atari. In the game the object is to aid prehistoric humans and help them evolve by finding new tools.",3030-12806,12806,0,,https://www.giantbomb.com/the-humans/3030-12806/," <div> Overview : The Humans is a puzzle/platformer/strategy game much in the vein of Lemmings. The players tries to, in most but not all levels, move a group of cavemen ""the Humans"" from point A to point B using many different items, including wheels, ropes, Witch Doctors, and even having the Humans themselves create a ""Human"" ladder.This game was released on many different consoles at the time. It has also seen a release on the Nintendo DS, as well as finding its way to the Wii Virtual Console.Some versions of this game had different/alternate titles. For example, the Atari Jaguar version was named Evolution: Dino Dudes. Similarly, the Atari Lynx version was named Dinolympics.This game also saw two sequels. The Humans II: the Jurassic Levels and The Humans III: Evolution -- Lost in Time, both for the PC and Amiga. </div>  <div> Gameplay : In each level, the player controls between three and eight ""Humans"". The levels are varied in their goals. Some are as simple as getting one of the cavemen to a goal, marked by a red tile. Sometimes, the player must aide the cavemen in retrieving an item, such as Fire, as well as a few other level variations. Each level has a different combination of tools the player has access to.Unlike Lemmings, the player can actually control one ""Human"" at a time, making for precise actions easier than in other similar games. As the player progresses through the game, they get more ""Humans"" to join their tribe, usually obtained by rescuing them throughtout the levels. These act as sort of a life gauge, because if a ""Human"" dies during a level, they are replaced by a member of the tribe. The players keeps progressing until they either beat the game or they they no longer have the minimum amount of tribe members required to pass a level.This game uses a password function as a means of saving progress. </div> ",ESRB: E10+
Hunchback of Notre Dame,Tiertex Design Studios,THQ,March 1997,gb,,3030-9933,9933,0,,https://www.giantbomb.com/hunchback-of-notre-dame/3030-9933/,,
The Hunt for Red October,Beam Software,Hi Tech Expressions NA/EUAltron JP,May 1991,gb,The Hunt for Red October is a side-scrolling submarine shooter based on the 1990 Sean Connery movie adaptation of the Tom Clancy novel.,3030-2491,2491,0,1991-12-31,https://www.giantbomb.com/the-hunt-for-red-october/3030-2491/," <div> Overview : The Hunt for Red October is a submarine shoot 'em up based loosely on the novel and movie of the same name. It is not to be confused with the PC game based on the same license, which is a more serious submarine simulator. The console version was originally released on the NES and eventually ported to the Game Boy and SNES.While each version of the game contains side-scrolling shoot 'em up stages where the eponymous Red October must navigate through stages filled with enemies and obstacles, there are a few differences between versions. For instance, the Super Nintendo version has bonus stages which can (optionally) take advantage of the system's Super Scope peripheral. The NES version's final stage is a platformer in which the player, as Sean Connery's character Captain Ramius, must disarm bombs in the sub's weapon bay. </div> ",
Lode Runner,TOSE,Bandai,February 1990,gb,"This updated take on the original Lode Runner is essentially an entirely new game, but it keeps the core of Douglas Smith's original ideas intact.",3030-25524,25524,0,2009-04-22,https://www.giantbomb.com/lode-runner/3030-25524/,,ESRB: E
In Your Face,Jaleco,Jaleco,December 1990,gb,In Your Face is a basketball game for the Game Boy. It was developed by Jaleco.,3030-35678,35678,0,1992-12-01,https://www.giantbomb.com/in-your-face/3030-35678/,,
The Incredible Crash Dummies,Software Creations,LJN,November 1992,gb,"The Incredible Crash Dummies capitalizes on the early '90s popularity of the Crash Dummy characters. Players are able to smash and trash the Dummies, running them through test tracks and stunts.",3030-20029,20029,0,,https://www.giantbomb.com/the-incredible-crash-dummies/3030-20029/," <div> Overview : The Incredible Crash Dummies (known as ""The Incredible Crash Dummies: Slick Bouya no Daichousen"" in Japan. The subtitle roughly translates as ""Slick's Great Challenge"") is an action platformer game based on the Incredible Crash Dummies license, a toy series that became an animated TV show. The player controls Slick, one of the titular Incredible Crash Dummies, and must rescue Dr Zub from the evil Junkman before he can use the good Doctor's knowledge to create an army of robots.The game was released on many home systems of the era, some of which varied slightly in their presentation and gameplay.  </div>  <div> Game Boy Version : The Game Boy version of The Incredible Crash Dummies featured many different forms of gameplay, resembling more of a mini-game collection than its Super Nintendo counterpart. Players must either successfully crash the playable dummy, or successfully pass the Dummy through various levels. </div>  <div> Critical Reception : Five separate stunts await the Dummy for testing. The Roof Jump comprises of a vertical drop off the edge of a burning building. Players receive more points for each awning they are able to break, and for each fire hazard they are able to avoid. A target is painted on the sidewalk, which the Dummy must hit in order to progress to the next stage of testing.The Air Bumper stage puts the Dummy behind the wheel of a new car model, with improved air bumper safety features. The player must steer the car over air cans in order to inflate the bumper, while avoiding large pits on the test track, along with oil slicks that cause the Dummy's vehicle to spin out.The Ski Slope tests the Dummy's agility and reflexes, as trees must be avoided, and points are awarded for any jumps completed.The Dummy proceeds to enter the Bomb Factory, where the player must ensure the quality of bombs created by blowing out any lit fuses. Failing to do so on any three bombs will result in the stunt starting over. Conveyor belts move the bombs from the top of the screen to the bottom, with other various items. The Dummy is instructed to smash all of the other items with a mallet, ensuring that only quality tested bombs make it through the factory.The Cruise Missle stunt is an arcade style level, where the player navigates a space ship in an extremely low gravity environment. Changing the ship's trajectory requires rotating the vehicle and igniting the engine, creating a delicate balance between speed and maneuverability as the player is timed. The Dummy must crash the ship on yet another bulls eye, ending the stunt.After the end of each stunt, the Dummy's boss will critique the player's work. The Dummy receives cash if the stunt went as planned, and a small bonus if the boss was impressed. Three levels of difficulty are presented, with easy, normal, and hard, encouraging the player to revisit each stunt for more cash. </div> ",
Indiana Jones,NMS Software,Ubisoft NA/EUCoconuts Japan JP,July 1994,gb,A math game for the Didj. Players must fight enemies and solve math problems.,3030-38278,38278,0,2008-05-07,https://www.giantbomb.com/indiana-jones/3030-38278/,,
Berlitz* French Translator,Imagineering,GameTek,September 1991,gb,It is a French translator for the Game Boy. You type in  an English word and it translates it to French,3030-38115,38115,0,,https://www.giantbomb.com/berlitz-french-translator/3030-38115/,,
